Assembly Name,Assembly Accession,Assembly Paired Assembly Accession,Organism Name,Organism Infraspecific Names Strain,Annotation Name,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds,Assembly BioSample Accession,Collection Date
16ShHly_IVRI,GCA_041501545.1,GCF_041501545.1,Pseudomonas aeruginosa,33008169,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Chromosome,26-08-2024,,1,SAMN33008169,18-07-2018
ASM5144808v1,GCA_051448085.1,GCF_051448085.1,Pseudomonas aeruginosa,OI288,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAGM01,5,SAMN48730456,19-02-2024
ASM5145010v1,GCA_051450105.1,GCF_051450105.1,Pseudomonas aeruginosa,OI238,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAHW01,2,SAMN48730406,06-02-2024
ASM5145332v1,GCA_051453325.1,GCF_051453325.1,Pseudomonas aeruginosa,OI06,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPANY01,2,SAMN48730174,25-01-2023
ASM5145252v1,GCA_051452525.1,GCF_051452525.1,Pseudomonas aeruginosa,OI60,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAMP01,3,SAMN48730228,14-11-2022
ASM5144802v1,GCA_051448025.1,GCF_051448025.1,Pseudomonas aeruginosa,OI291,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAGJ01,6,SAMN48730459,19-02-2024
ASM5145322v1,GCA_051453225.1,GCF_051453225.1,Pseudomonas aeruginosa,OI18,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPANQ01,5,SAMN48730186,13-02-2023
ASM5145160v1,GCA_051451605.1,GCF_051451605.1,Pseudomonas aeruginosa,OI124,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKV01,2,SAMN48730292,08-08-2023
ASM5145214v1,GCA_051452145.1,GCF_051452145.1,Pseudomonas aeruginosa,OI86,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALW01,4,SAMN48730254,17-04-2023
ASM5145146v1,GCA_051451465.1,GCF_051451465.1,Pseudomonas aeruginosa,OI138,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKO01,2,SAMN48730306,30-08-2023
ASM5144850v1,GCA_051448505.1,GCF_051448505.1,Pseudomonas aeruginosa,OI260,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAHI01,5,SAMN48730428,19-02-2024
ASM5145112v1,GCA_051451125.1,GCF_051451125.1,Pseudomonas aeruginosa,OI156,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAJX01,3,SAMN48730324,13-10-2023
ASM5145282v1,GCA_051452825.1,GCF_051452825.1,Pseudomonas aeruginosa,OI38,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPANE01,2,SAMN48730206,01-03-2023
ASM5145228v1,GCA_051452285.1,GCF_051452285.1,Pseudomonas aeruginosa,OI74,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAMD01,4,SAMN48730242,18-03-2023
ASM5145128v1,GCA_051451285.1,GCF_051451285.1,Pseudomonas aeruginosa,OI148,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKF01,2,SAMN48730316,06-09-2023
ASM5145190v1,GCA_051451905.1,GCF_051451905.1,Pseudomonas aeruginosa,OI102,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALK01,3,SAMN48730270,31-05-2023
ASM5145186v1,GCA_051451865.1,GCF_051451865.1,Pseudomonas aeruginosa,OI105,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALI01,3,SAMN48730273,30-05-2023
ASM5145274v1,GCA_051452745.1,GCF_051452745.1,Pseudomonas aeruginosa,OI44,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAMZ01,4,SAMN48730212,10-03-2023
ASM5144826v1,GCA_051448265.1,GCF_051448265.1,Pseudomonas aeruginosa,OI278,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAGV01,4,SAMN48730446,19-02-2024
ASM5145142v1,GCA_051451425.1,GCF_051451425.1,Pseudomonas aeruginosa,OI141,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKM01,2,SAMN48730309,14-09-2023
ASM5145022v1,GCA_051450225.1,GCF_051450225.1,Pseudomonas aeruginosa,OI222,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAIE01,23,SAMN48730390,28-12-2023
ASM5145290v1,GCA_051452905.1,GCF_051452905.1,Pseudomonas aeruginosa,OI32,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPANI01,5,SAMN48730200,25-02-2023
ASM5144846v1,GCA_051448465.1,GCF_051448465.1,Pseudomonas aeruginosa,OI265,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAHF01,6,SAMN48730433,19-02-2024
ASM5145218v1,GCA_051452185.1,GCF_051452185.1,Pseudomonas aeruginosa,OI81,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALY01,4,SAMN48730249,20-03-2023
ASM5145192v1,GCA_051451925.1,GCF_051451925.1,Pseudomonas aeruginosa,OI101,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALL01,4,SAMN48730269,09-05-2023
ASM5144856v1,GCA_051448565.1,GCF_051448565.1,Pseudomonas aeruginosa,OI256,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAHK01,6,SAMN48730424,19-02-2024
ASM5145270v1,GCA_051452705.1,GCF_051452705.1,Pseudomonas aeruginosa,OI45,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAMY01,5,SAMN48730213,10-03-2023
ASM5145212v1,GCA_051452125.1,GCF_051452125.1,Pseudomonas aeruginosa,OI87,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALV01,6,SAMN48730255,17-04-2023
ASM5144833v1,GCA_051448335.1,GCF_051448335.1,Pseudomonas aeruginosa,OI273,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAGZ01,8,SAMN48730441,19-02-2024
ASM5145164v1,GCA_051451645.1,GCF_051451645.1,Pseudomonas aeruginosa,OI121,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKX01,10,SAMN48730289,08-08-2023
ASM5145208v1,GCA_051452085.1,GCF_051452085.1,Pseudomonas aeruginosa,OI90,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALS01,10,SAMN48730258,18-04-2023
ASM5145194v1,GCA_051451945.1,GCF_051451945.1,Pseudomonas aeruginosa,OI99,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALN01,7,SAMN48730267,30-05-2023
ASM5145152v1,GCA_051451525.1,GCF_051451525.1,Pseudomonas aeruginosa,OI130,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAKQ01,13,SAMN48730298,06-09-2023
ASM5144851v1,GCA_051448515.1,GCF_051448515.1,Pseudomonas aeruginosa,OI261,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAHH01,17,SAMN48730429,19-02-2024
ASM5145236v1,GCA_051452365.1,GCF_051452365.1,Pseudomonas aeruginosa,OI69,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAMH01,13,SAMN48730237,21-12-2022
ASM5145242v1,GCA_051452425.1,GCF_051452425.1,Pseudomonas aeruginosa,OI65,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAML01,15,SAMN48730233,21-11-2022
ASM5145216v1,GCA_051452165.1,GCF_051452165.1,Pseudomonas aeruginosa,OI83,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALX01,20,SAMN48730251,01-04-2023
ASM5145288v1,GCA_051452885.1,GCF_051452885.1,Pseudomonas aeruginosa,OI33,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPANH01,19,SAMN48730201,25-02-2023
ASM5175190v1,GCA_051751905.1,GCF_051751905.1,Pseudomonas aeruginosa,HL_CHRU_S30,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,01-08-2025,JBMRJT01,81,SAMN47739825,22-09-2021
ASM5145202v1,GCA_051452025.1,,Pseudomonas aeruginosa,OI94,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPALQ01,223,SAMN48730262,29-04-2023
ASM5145340v1,GCA_051453405.1,,Pseudomonas aeruginosa,OI02,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,21-07-2025,JBPAOC01,227,SAMN48730170,24-01-2023
